id,vendor_id,category_id,name,description,short_description,sku,price,compare_price,cost_price,track_inventory,inventory_quantity,low_stock_threshold,weight,dimensions_length,dimensions_width,dimensions_height,status,is_featured,meta_title,meta_description,tags,specifications,warranty_info,shipping_info,created_at,updated_at
01a01b31-e551-4751-ab81-b29d10457141,3a705c09-ab4f-41e9-a2db-53b580d897b0,005fd53c-7e91-4289-bad0-f28d34d0206c,JKS215~1720K-100H,"The JKS215~1720K-100H is a cutting-edge, highly integrated energy storage system engineered for flexible and reliable performance across various working modes. Equipped with Lithium Iron Phosphate (LFP) battery technology, it offers a longer battery lifespan and significantly improved operational safety.

Designed for efficiency, the system supports pre-populated transportation, allowing for faster on-site installation and reduced deployment time. In addition, the integrated system includes an optimized fire protection design, ensuring a higher level of safety and compliance with modern standards. Ideal for commercial and industrial applications, this solution delivers power, protection, and performance in a compact and robust package.","JKS215~1720K-100H: A highly integrated energy storage system featuring multiple working modes, advanced LFP battery for extended life and safety, rapid deployment through pre-populated transport, and enhanced security with optimized fire protection design.",1720K-100H,10000.00,9000.00,,false,200,5,,,,,active,false,,,[],{},,,2025-07-31 21:41:03.76748+00,2025-07-31 23:56:12.614+00
0d22b418-bf58-4fdf-be98-adaa48ce1b07,ad3ea609-b345-41e8-afd2-959721533082,d7b6f5cc-3677-4b11-b005-61505de204a1,Blaze Briquettes (25kg),"The Blaze Briquettes (25kg) are designed to provide an eco-friendly, long-lasting, and cost-effective alternative to traditional charcoal and firewood. Made entirely from recycled biomass materials (sawdust, charcoal dust, and agricultural waste), these briquettes combine clean combustion, high efficiency, and sustainability.

With a burn time up to three times longer than charcoal, they deliver powerful, consistent heat while remaining smokeless and odorless—perfect for both indoor and outdoor use. The low ash content (less than 5%) can be repurposed as fertilizer, making Blaze Briquettes part of a zero-waste energy solution.

The 25kg pack is ideal for households that need more than the 5kg pack provides, but without going into the bulk size of 50kg. It’s also well-suited for restaurants, catering services, and small businesses looking for dependable, eco-friendly fuel.","The Blaze Briquettes (25kg) offer a balanced eco-friendly fuel solution—smokeless, odorless, and long-burning. Made from 100% recycled biomass, they last 3× longer than charcoal, produce fertilizer-grade ash, and deliver affordable, consistent heat for households, restaurants, and small businesses.",BLAZEBRQETES25KG,1000.00,2000.00,500.00,false,400,5,25.00,150.00,70.00,5.00,active,false,,,[],"{""Ash Reuse"":""Ash can be recycled as fertilizer"",""Affordable"":""Cost-effective heating & cooking solution"",""Medium Pack"":""25kg—perfect balance of convenience & bulk savings"",""Eco-Friendly"":""Made from 100% recycled biomass"",""Burns 3× Longer"":""Outperforms traditional charcoal"",""Smokeless & Odorless"":""Clean and safe for indoor/outdoor cooking""}",,,2025-08-29 11:27:02.454352+00,2025-08-29 11:27:02.454352+00
0f8053e7-cb73-42eb-b803-e36b970a9ab2,ad3ea609-b345-41e8-afd2-959721533082,d7b6f5cc-3677-4b11-b005-61505de204a1,Blaze Briquettes (2.5kg),"The Blaze Briquettes (2.5kg) are a lightweight, portable, and sustainable alternative to firewood and charcoal. Specially crafted from recycled biomass materials such as sawdust, charcoal dust, and agricultural waste, these briquettes are smokeless, odorless, and highly efficient.

Ideal for households, campers, and small cooking needs, this compact size makes it easy to carry, store, and use. Despite the smaller pack, Blaze Briquettes still provide consistent, high heat and burn up to three times longer than traditional charcoal.

The minimal ash residue can even be reused as organic fertilizer, making Blaze Briquettes not only eco-friendly but also zero-waste. Affordable and reliable, the 2.5kg pack is perfect for quick cooking sessions, small BBQs, or as a trial pack before upgrading to larger sizes.","The Blaze Briquettes (2.5kg) pack is a compact, eco-friendly fuel solution made from 100% recycled biomass. Perfect for household cooking, BBQs, and outdoor use, it is smokeless, odorless, long-lasting, and affordable—burning up to 3× longer than charcoal while leaving behind fertilizer-grade ash.",BLAZEBRQETES2KG,150.00,200.00,50.00,false,300,5,2.50,100.00,40.00,5.00,active,false,,,[],"{""Affordable"":""Budget-friendly, trial-size pack"",""Eco-Friendly"":""100% recycled biomass material"",""Reusable Ash"":""Leaves fertilizer-grade ash"",""Portable Pack"":""2.5kg—easy to carry, store, and use"",""Burns 3× Longer"":""Longer-lasting than traditional charcoal"",""Smokeless & Odorless"":""Clean burning for a healthier cooking experience""}",,,2025-08-29 11:31:17.025349+00,2025-08-29 11:31:17.025349+00
2871209b-d611-43c7-8658-b2f3c86d5802,5f41f8ae-84b4-4b73-a8da-ed98d6a50406,bdcdad79-a513-47b2-9f40-e54c0625970f,Huawei SUN2000-30/36/40KTL-M3 Smart PV Controller,"The Huawei SUN2000-30/36/40KTL-M3 Smart PV Controller is a state-of-the-art three-phase solar inverter engineered for commercial and industrial PV systems. Delivering 30kW, 36kW, or 40kW of rated AC active power, this inverter combines high conversion efficiency (up to 98.7%) with smart digital technology for superior performance and reliability.

Equipped with 4 MPPTs and 8 inputs, it provides flexible system design and optimized energy harvesting across varying conditions. Its robust protection suite includes arc fault protection, residual current monitoring, surge protection (AC/DC), DC reverse polarity protection, and anti-islanding to ensure maximum safety and grid compliance.

The SUN2000-M3 features natural convection cooling for silent, low-maintenance operation, and supports smart communication via integrated WLAN, FusionSolar app, and optional Smart Dongle (Ethernet/4G). Its compact, IP66-rated housing guarantees durability in harsh outdoor environments, with reliable performance up to 4000m altitude.","The Huawei SUN2000-30/36/40KTL-M3 Smart PV Controller is a high-efficiency, transformerless three-phase solar inverter designed for large-scale commercial and industrial solar installations. With up to 98.7% efficiency, advanced protection features, smart monitoring, and natural convection cooling, it ensures reliable performance, safety, and easy integration with Huawei’s FusionSolar ecosystem.",SUN2000-30/36/40KTL-M3,10000.00,20000.00,5000.00,false,150,5,43.00,270.00,530.00,5.00,active,false,,,[],"{""Cooling"":""Natural convection"",""MPP Trackers"":""4 (8 inputs total)"",""Communication"":""WLAN, RS485, FusionSolar App, optional 4G/Ethernet dongle"",""Rated Voltage"":""230V / 400V / 480V, 3-phase"",""AC Power Output"":""30kW / 36kW / 40kW"",""Max. Efficiency:"":""98.7% (European efficiency 98.4%)"",""Protection Degree"":""IP66"",""Max. Input Voltage"":""1,100V""}",,,2025-08-29 10:39:33.834609+00,2025-08-29 10:39:33.834609+00
518daf94-480a-4056-aeb8-9a0e066923f0,ad3ea609-b345-41e8-afd2-959721533082,d7b6f5cc-3677-4b11-b005-61505de204a1,Blaze Briquettes (5kg),"The Blaze Briquettes (5kg) are a high-density, eco-friendly fuel solution designed to replace traditional charcoal and firewood. Manufactured from 100% recycled biomass — including sawdust, charcoal dust, and agricultural waste — these briquettes deliver a cleaner, greener, and more efficient energy source while promoting environmental sustainability.

With a burn time of 2–3 hours per use and high calorific value, Blaze Briquettes generate consistent, intense heat suitable for a wide range of applications, from household cooking and barbecues to restaurants, bakeries, and industrial heating. They are engineered for efficiency, producing minimal smoke, low ash residue (<5%), and maintaining a low moisture content (<10%) for reliable ignition and combustion.

In addition to being smokeless and odorless, Blaze Briquettes reduce environmental impact by utilizing waste biomass that would otherwise go unused. Their compact 5kg packaging makes them convenient to transport, store, and use — perfect for both domestic and commercial needs.","The Blaze Briquettes (5kg) are eco-friendly, long-lasting fuel briquettes made from 100% recycled biomass. With a burn time of up to 3 hours, low smoke emissions, and minimal ash, they offer a clean, efficient, and sustainable alternative to traditional charcoal and firewood for cooking, grilling, and heating.",BLZBRQETS5KG,300.00,500.00,,false,200,5,,,,,active,false,,,[],{},,,2025-08-29 11:16:40.070039+00,2025-08-29 11:17:38.517+00
6d152ebb-e634-4281-9d87-7ec8f6ebac32,ad3ea609-b345-41e8-afd2-959721533082,d7b6f5cc-3677-4b11-b005-61505de204a1,Blaze Briquettes (50kg),"The Blaze Briquettes (50kg) offer a cost-effective, clean, and long-lasting alternative to traditional charcoal and firewood. Made from 100% recycled biomass — including sawdust, charcoal dust, and agricultural waste — these briquettes are engineered to deliver superior performance, sustainability, and value in bulk packaging.

Designed for extended use, Blaze Briquettes burn up to three times longer than regular charcoal, ensuring consistent high heat output with fewer refills. They are smokeless and odorless, making them ideal for indoor cooking, restaurants, bakeries, and outdoor grilling without compromising air quality.

One of their unique benefits is that the ash residue (less than 5%) can be repurposed as fertilizer, promoting a circular, zero-waste energy solution. The 50kg bulk pack is perfect for commercial kitchens, industrial heating, and households seeking both affordability and convenience.","The Blaze Briquettes (50kg) are a bulk eco-friendly fuel solution made from 100% recycled biomass. They burn 3× longer than traditional charcoal, produce no smoke or odor, leave ash that can be reused as fertilizer, and provide an affordable, sustainable energy source for households, restaurants, and industrial heating.",BLAZEBRQETES50KG,2000.00,3000.00,1000.00,false,300,5,50.00,126.00,70.00,5.00,active,false,,,[],"{""Bulk Pack"":""50kg for long-term use & cost savings"",""Eco-Friendly"":""100% recycled biomass (sawdust, charcoal dust, agricultural waste)"",""Burn Duration"":""3× longer than regular charcoal"",""Ash as Fertilizer"":""Promotes sustainability with zero waste"",""Smokeless & Odorless"":""Clean combustion for indoor/outdoor use"",""Affordable Energy Source"":""High value compared to traditional fuels""}",,,2025-08-29 11:22:50.882015+00,2025-08-29 11:22:50.882015+00
8fb29647-857c-4a79-ad39-c957d3ea1ee8,5f41f8ae-84b4-4b73-a8da-ed98d6a50406,bdcdad79-a513-47b2-9f40-e54c0625970f,Huawei LUNA2000-215-2S10 Smart String Energy Storage System,"The Huawei LUNA2000-215-2S10 Smart String ESS is a next-generation modular energy storage solution built to support commercial and industrial facilities, microgrids, and renewable integration projects. With a rated capacity of 215 kWh and based on LFP (Lithium Iron Phosphate) battery chemistry, it offers safe, long-lasting, and efficient energy storage with full depth of discharge (0–100%).

The system integrates hybrid cooling technology for enhanced thermal management, supporting an operating temperature range of -30°C to +55°C, ensuring stability across diverse environments. With 91.3% maximum cycle efficiency and a 0.5C cycle rate, it provides high round-trip efficiency while maintaining excellent cycle life.

Built with smart active balancing and automatic SOC calibration, the LUNA2000-215-2S10 ensures consistent performance and optimized lifespan of all battery modules. Safety is a top priority, with features such as directional gas exhaust, aerosol-based fire suppression, top explosion vents, and comprehensive electrical protection mechanisms including residual current detection, insulation resistance monitoring, and AC overcurrent protection.

The system includes a 108 kW PCS (Power Conversion System) for bidirectional energy flow, supporting full four-quadrant control with power factor adjustability from -1 to +1. With ≤1.5% current harmonic distortion (THDi), it ensures smooth integration into grid-connected or islanded applications.

Monitoring and control are made seamless with Ethernet/optical fiber connectivity, Modbus TCP protocol support, and FusionSolar ecosystem compatibility. The system is designed for outdoor installations, with an IP55 protection rating, Class B EMC compliance, and noise levels below 65 dB(A).","The Huawei LUNA2000-215-2S10 Smart String Energy Storage System is a 215 kWh lithium iron phosphate (LFP) battery solution designed for large-scale commercial and industrial applications. Featuring 91.3% cycle efficiency, wide operating temperature support, hybrid cooling, and comprehensive safety protections, it ensures reliable, high-performance energy storage with smart management and grid compliance.",LUNA2000-215-2S10,10000.00,20000.00,5000.00,false,200,5,,,,,active,false,,,[],"{""Cooling"":""Hybrid cooling"",""PCS Power"":""108 kW (164 A, 3-phase 380/400/415V, 50/60 Hz)"",""Rated Capacity"":""215 kWh"",""Battery Chemistry"":""LFP (Lithium Iron Phosphate)"",""Depth of Discharge"":""0–100%"",""Voltage Range (DC)"":""648–864 V"",""Max. Cycle Efficiency"":""91.3%"",""Rated Battery Capacity"":""280Ah"",""System Battery Configuration"":""240S1P, 4 packs""}",,,2025-08-29 11:04:45.370902+00,2025-08-29 11:04:45.370902+00
969f9978-ec50-4412-b501-d866fa302a46,3a705c09-ab4f-41e9-a2db-53b580d897b0,005fd53c-7e91-4289-bad0-f28d34d0206c,JKS645~1720K-250H,"The JKS645~1720K-250H is a next-generation integrated energy storage system, delivering exceptional performance, efficiency, and safety for commercial and industrial energy applications. Built on Lithium Iron Phosphate (LFP) battery technology, it provides superior thermal stability, long cycle life, and enhanced operational safety.

With a 250kW rated AC power output (275kW max), this system supports 300kW PV input, enabling high renewable integration. It operates within a broad MPPT voltage range of 250–850V and maintains high efficiency even at full load (450–850V). Fast seamless switching (≤20ms) through an integrated STS ensures uninterrupted power delivery.

The liquid cooling system, IP54 protection rating, and wide temperature tolerance (-20°C to 50°C) make the JKS645~1720K-250H well-suited for deployment in challenging environments. It supports up to 2000m installation altitude and communicates via RS485, Ethernet, and GPRS, with Modbus TCP compatibility for seamless integration with energy management platforms.

Certified to IEC62619, IEC63056, IEC61000, and IEC6247 standards, this system meets the highest benchmarks in quality and safety — delivering a robust and intelligent solution for scalable energy storage needs.","JKS645~1720K-250H: A high-capacity, liquid-cooled energy storage system built with safe and long-lasting LFP battery technology. Delivers 250kW rated AC power with fast switching (<20ms), wide MPPT range, and intelligent system control via Modbus TCP — ideal for commercial and industrial use.

",JKS6451720K250H,10000.00,8500.00,6000.00,false,600,5,20.00,200.00,66.00,6.00,active,false,,,[],"{"" Rated Voltage"":""768V"","" Voltage Range"":"" 672V~864V"","" Battery Chemistry"":"" Lithium Iron Phosphate (LFP)"",""Cell Specification"":""3.2V/280Ah"",""DC Rated Energy Capacity"":"" 645kWh (215kWh*3)"","" BMS Communication Protocol"":""Modbus TCP"","" BMS Communication Interface"":""Ethernet(LAN)"",""Battery System Configuration"":"" 3*1P240S""}",,,2025-07-31 21:54:05.951677+00,2025-07-31 21:54:05.951677+00
9ddc76f4-5d64-41ba-bd85-79e162a96787,5f41f8ae-84b4-4b73-a8da-ed98d6a50406,bdcdad79-a513-47b2-9f40-e54c0625970f,Huawei SUN2000-150K-MG0 Smart PV Controller,"The Huawei SUN2000-150K-MG0 Smart PV Controller is a next-generation high-power inverter designed for large-scale solar plants and commercial PV installations. Delivering up to 150kW nominal output power and 165kVA maximum apparent power, it offers industry-leading efficiency and advanced grid compliance to support high-capacity solar deployments.

With 7 MPPTs (supporting up to 21 string inputs), the inverter provides exceptional design flexibility and optimal energy harvesting across varying site conditions. Its high current handling (up to 48A per MPPT) makes it suitable for today’s high-power solar modules, ensuring higher yields and better return on investment.

The SUN2000-150K-MG0 is equipped with comprehensive safety and protection systems, including arc fault protection, smart string-level disconnection, PID recovery, residual current monitoring, terminal temperature detection, ground-fault protection, and AC/DC surge protection (Type II). With AC total harmonic distortion below 1%, it ensures grid stability and reliable long-term operation.

For monitoring and control, it integrates LED indicators, WLAN, RS485, USB, and FusionSolar app support, with optional 4G/WLAN Smart Dongles and MBUS (with isolation transformer). Its IP66-rated enclosure, smart air cooling, and wide operating range (-25°C to +60°C, up to 4000m altitude) guarantee durability in the harshest environments.","The Huawei SUN2000-150K-MG0 Smart PV Controller is a high-capacity 150kW three-phase inverter engineered for utility-scale and large commercial solar projects. With 98.8% peak efficiency, 7 MPPTs, advanced protection features, and intelligent monitoring, it maximizes energy yield while ensuring safety, reliability, and flexible system design.",SUN2000-150K-MG0,10000.00,20000.00,5000.00,false,400,15,99.00,1000.00,710.00,395.00,active,false,,,[],"{""Communication"":""WLAN, RS485, USB, FusionSolar App, optional Smart Dongle (Ethernet/4G), MBUS"",""Cooling Method"":""Smart Air Cooling"",""Output Voltage"":""380V / 400V / 480V, 3-phase"",""Max. Efficiency"":""98.6% @400V, 98.8% @480V"",""Nominal AC Power"":""150kW (Max. 165kW / 165kVA)"",""Protection Degree"":""IP66"",""Dimensions / Weight"":""1000 × 710 × 395 mm, ≤99 kg"",""Max. Output Current"":""253.2A (380V), 240.5A (400V), 200.5A (480V)"",""MPP Trackers / Inputs"":""7 MPPTs, up to 21 strings"",""Nominal Output Current"":""227.9A (380V), 216.5A (400V), 180.4A (480V)""}",,,2025-08-29 10:56:13.360154+00,2025-08-29 10:56:13.360154+00
a2269e0d-5a2e-4350-85fa-58051133ca74,3a705c09-ab4f-41e9-a2db-53b580d897b0,005fd53c-7e91-4289-bad0-f28d34d0206c,JKS430~1720K-150H,"The JKS430~1720K-150H is an advanced, high-capacity energy storage solution designed to meet the demanding needs of modern energy infrastructure. Featuring Lithium Iron Phosphate (LFP) battery chemistry with 3.2V/280Ah cell specification, this system ensures long battery life, thermal stability, and superior safety performance.

It supports 150kW rated AC power output, with up to 165kW peak capacity, and integrates a fast-response STS (≤20ms) for seamless power switching. The unit operates across a wide MPPT voltage range (250–850V), optimizing solar input and energy conversion efficiency. Communication is versatile with RS485, Ethernet, and GPRS, while compatibility with Modbus TCP ensures easy integration with energy management systems.

Engineered for harsh environments, the JKS430~1720K-150H features IP54 protection, a liquid cooling system, and supports operation in temperatures from -20°C to 50°C and altitudes up to 2000m. With full IEC certifications, this system delivers performance, reliability, and safety — ideal for commercial, industrial, and utility-scale energy storage applications.","JKS430~1720K-150H: A powerful and efficient LFP-based energy storage system with 150kW rated AC output, fast switching (<20ms), liquid cooling, and multi-protocol communication. Designed for high performance, safety, and rapid deployment in commercial and industrial applications.",JKS4301720K150H,10000.00,8500.00,1000.00,false,200,5,30.00,200.00,66.00,5.00,active,false,,,[],"{""Rated Voltage"":"" 768V"",""Voltage Range"":"" 672V~864V"","" Battery Chemistry"":"" Lithium Iron Phosphate (LFP)"",""Cell Specification"":"" 3.2V/280Ah"",""MPPT voltage range"":"" 250-850V"","" Max.PV Input Voltage"":"" 1000V"",""Standard/Max PV Power"":"" 150/200kW"","" DC Rated Energy Capacity"":""430kWh(215kWh*2)"","" BMS Communication Protocol"":""Modbus TCP"",""BMS Communication Interface"":"" Ethernet(LAN)"",""Battery System Configuration"":""2*1P240S"",""MPPT voltage range@full load"":"" 450-850V""}",,,2025-07-31 21:48:47.086068+00,2025-07-31 21:48:47.086068+00
d3683171-d7c2-4dca-863c-74bf9d195734,5f41f8ae-84b4-4b73-a8da-ed98d6a50406,bdcdad79-a513-47b2-9f40-e54c0625970f,Huawei SUN2000-100KTL-M2 Smart PV Controller,"The Huawei SUN2000-100KTL-M2 Smart PV Controller is a flagship high-capacity solar inverter built for large-scale commercial rooftops, industrial complexes, and utility-scale solar power plants. Delivering 100kW nominal output power and up to 110kVA apparent power, it combines Huawei’s proven inverter technology with smart management features to achieve optimal efficiency and safety.

With 10 independent MPPTs (supporting up to 20 strings), the SUN2000-100KTL-M2 provides exceptional design flexibility and ensures maximum energy harvesting even under partial shading or complex site conditions. Offering up to 98.8% efficiency at 480V, it minimizes energy losses and maximizes return on investment.

The inverter integrates a comprehensive protection suite, including arc fault detection, string-level disconnection, residual current monitoring, surge protection (Type II AC/DC), and anti-islanding protection. It also meets strict global grid compliance standards for seamless integration into diverse markets.

For monitoring and control, the SUN2000-100KTL-M2 supports WLAN, RS485, USB, MBUS (with isolation transformer), FusionSolar app, and optional 4G/WLAN Smart Dongles. Its smart air cooling system, IP66-rated enclosure, and wide -25°C to +60°C operating range ensure reliable performance even in harsh outdoor conditions.","The Huawei SUN2000-100KTL-M2 Smart PV Controller is a powerful 100kW three-phase inverter designed for large commercial and utility-scale solar projects. With up to 98.8% efficiency, 10 MPPTs, advanced safety protection, and smart monitoring features, it delivers maximum energy yield, system reliability, and flexible design options for high-capacity installations.",SUN2000-100KTL-M2,10000.00,20000.00,5000.00,false,300,5,93.00,1035.00,700.00,365.00,active,false,,,[],"{""Communication"":""WLAN, RS485, USB, FusionSolar App, optional Smart Dongles (Ethernet/4G)"",""Cooling Method"":""Smart Air Cooling"",""Output Voltage"":""380V / 400V / 480V, 3-phase"",""Max. Efficiency"":""98.6% @400V, 98.8% @480V"",""Nominal AC Power"":""100kW (Max. 110kW / 110kVA)"",""Protection Degree"":""IP66"",""Dimensions / Weight"":""1035 × 700 × 365 mm, ≤93 kg"",""Max. Output Current"":""160.4A (400V), 133.7A (480V)"",""MPP Trackers / Inputs"":""10 MPPTs, 20 strings (2 per tracker)"",""Nominal Output Current"":""144.4A (400V), 120.3A (480V)""}",,,2025-08-29 10:51:51.336573+00,2025-08-29 10:51:51.336573+00
d89c0b07-870d-4ffc-862c-3c9299eb882d,3a705c09-ab4f-41e9-a2db-53b580d897b0,005fd53c-7e91-4289-bad0-f28d34d0206c,JKS1075~2150K-500H,"The JKS1075~2150K-500H is a high-capacity, industrial-grade energy storage system built for reliability, flexibility, and safety in utility and commercial-scale deployments. Featuring advanced Lithium Iron Phosphate (LFP) battery cells (3.2V/280Ah), it ensures long-term stability, thermal safety, and sustained performance under varying load conditions.

The system delivers 500kW of rated AC power (550kW max), with support for 600kW PV input, making it ideal for high-demand, renewable-integrated operations. The wide MPPT range (250–850V) and full-load MPPT (450–850V) ensure consistent energy capture and conversion efficiency, even under fluctuating solar input.

With an STS (Static Transfer Switch) that supports seamless switching in under 20ms, the system guarantees uninterrupted power delivery during transitions. Engineered for durability, it operates efficiently in harsh climates thanks to IP54 ingress protection, a liquid cooling system, and a temperature tolerance from -20°C to 50°C. It’s also designed to function up to 2,000 meters above sea level.

The JKS1075~2150K-500H features robust communication interfaces — including RS485, Ethernet, and GPRS — and supports Modbus TCP, allowing smooth integration into energy management systems and SCADA platforms.

Certified to international standards (IEC62619, IEC63056, IEC61000, IEC62477), this system is an ideal solution for organizations seeking a scalable, intelligent, and secure energy storage backbone.","JKS1075~2150K-500H: A high-performance, grid-scale energy storage system with 500kW rated power, cutting-edge LFP battery chemistry, wide MPPT range, ultra-fast switching, and advanced liquid cooling — designed for maximum safety, scalability, and seamless integration.",JKS10752150K500H,10000.00,8500.00,,false,800,5,,,,,active,false,,,[],{},,,2025-07-31 21:59:39.337666+00,2025-07-31 23:03:33.841+00
e5446b52-2cfa-4457-a8fe-652a6b6fba16,5f41f8ae-84b4-4b73-a8da-ed98d6a50406,bdcdad79-a513-47b2-9f40-e54c0625970f,Huawei SUN2000-50KTL-M3 Smart PV Controller,"The Huawei SUN2000-50KTL-M3 Smart PV Controller is a high-performance solar inverter designed for large-scale commercial and industrial PV systems. Delivering up to 50kW rated power and 55kVA maximum apparent power, it combines advanced digital control with multi-MPPT tracking for maximum solar energy harvesting across variable conditions.

Featuring 4 MPPTs and 8 inputs, the inverter provides flexible design options and ensures high efficiency even in complex installations. With maximum efficiency of 98.5% (98.0% European efficiency), it reduces energy losses and improves overall system yield.

The SUN2000-50KTL-M3 integrates comprehensive safety protections, including arc-fault detection, anti-islanding, surge protection (Type II AC/DC), DC reverse polarity, residual current monitoring, and insulation resistance detection. It is IP66-rated for harsh outdoor conditions and supports smart air cooling, ensuring reliable operation in a wide temperature range (-25°C to 60°C) and altitudes up to 4000m.

For intelligent monitoring, it includes LED indicators, WLAN, RS485, and FusionSolar app connectivity, with optional Ethernet and 4G dongles. The system is also compatible with Huawei optimizers for module-level management and fault detection.","The Huawei SUN2000-50KTL-M3 Smart PV Controller is a powerful 50kW three-phase solar inverter built for large commercial and utility-scale applications. With 98.5% maximum efficiency, robust safety features, and smart monitoring, it ensures optimized energy yields, reliable grid connection, and long-term durability in all environments.",SUN2000-50KTL-M3,10000.00,20000.00,5000.00,false,200,5,49.00,640.00,530.00,270.00,active,false,,,[],"{""Communication"":""WLAN, RS485, FusionSolar app, optional Ethernet/4G dongle"",""Cooling Method"":""Smart air cooling"",""AC Output Power"":""50kW (Max. 55kW / 55kVA)"",""Max. Efficiency"":""98.5% (European efficiency 98.0%)"",""Protection Rating"":""IP66 (dustproof & waterproof)"",""Dimensions / Weight"":""640 × 530 × 270 mm, 49 kg"",""Rated Output Current"":""72.2A (400V), 60.1A (480V)"",""Rated Output Voltage"":""400V / 480V, 3-phase"",""MPP Trackers / Inputs"":""4 MPPTs, 8 inputs""}",,,2025-08-29 10:47:13.178107+00,2025-08-29 10:47:13.178107+00
